	ancestors	id	node_level
23	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000988']}	WBPhenotype:0000988	3
24	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0001833']}	WBPhenotype:0001833	3
25	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000985']}	WBPhenotype:0000985	3
26	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0001206'], 4: ['WBPhenotype:0000643'], 5: ['WBPhenotype:0004017'], 6: ['WBPhenotype:0000645'], 7: ['WBPhenotype:0000501']}	WBPhenotype:0000501	7
27	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0001206'], 4: ['WBPhenotype:0000643'], 5: ['WBPhenotype:0004017'], 6: ['WBPhenotype:0000645']}	WBPhenotype:0000645	6
28	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0001206'], 4: ['WBPhenotype:0000643'], 5: ['WBPhenotype:0004017'], 6: ['WBPhenotype:0000645'], 7: ['WBPhenotype:0000502']}	WBPhenotype:0000502	7
29	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000986']}	WBPhenotype:0000986	3
30	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000533'], 3: ['WBPhenotype:0002089'], 4: ['WBPhenotype:0001028'], 5: ['WBPhenotype:0002037'], 6: ['WBPhenotype:0001832']}	WBPhenotype:0001832	6
31	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000533'], 3: ['WBPhenotype:0002089'], 4: ['WBPhenotype:0001028'], 5: ['WBPhenotype:0002037']}	WBPhenotype:0002037	5
32	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0000507']}	WBPhenotype:0000507	5
33	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000738'], 5: ['WBPhenotype:0000523'], 6: ['WBPhenotype:0000631'], 7: ['WBPhenotype:0000011'], 8: ['WBPhenotype:0001839']}	WBPhenotype:0001839	8
34	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000738'], 5: ['WBPhenotype:0000523'], 6: ['WBPhenotype:0000631'], 7: ['WBPhenotype:0000011']}	WBPhenotype:0000011	7
35	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0000717'], 6: ['WBPhenotype:0001838']}	WBPhenotype:0001838	6
36	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0000717']}	WBPhenotype:0000717	5
37	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0000508']}	WBPhenotype:0000508	5
38	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000039'], 4: ['WBPhenotype:0001837']}	WBPhenotype:0001837	4
39	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000039']}	WBPhenotype:0000039	3
40	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000534', 'WBPhenotype:0000535'], 3: ['WBPhenotype:0000604', 'WBPhenotype:0001023'], 4: ['WBPhenotype:0000299', 'WBPhenotype:0001024'], 5: ['WBPhenotype:0000505', 'WBPhenotype:0001358'], 6: ['WBPhenotype:0000505']}	WBPhenotype:0000505	6
41	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000535'], 3: ['WBPhenotype:0001023'], 4: ['WBPhenotype:0001024'], 5: ['WBPhenotype:0001358']}	WBPhenotype:0001358	5
42	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000534'], 3: ['WBPhenotype:0000604'], 4: ['WBPhenotype:0000299']}	WBPhenotype:0000299	4
43	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000989']}	WBPhenotype:0000989	3
44	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000535'], 3: ['WBPhenotype:0001023', 'WBPhenotype:0000582'], 4: ['WBPhenotype:0001024', 'WBPhenotype:0000073'], 5: ['WBPhenotype:0000070'], 6: ['WBPhenotype:0000342'], 7: ['WBPhenotype:0000506']}	WBPhenotype:0000506	7
45	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000535'], 3: ['WBPhenotype:0001023', 'WBPhenotype:0000582'], 4: ['WBPhenotype:0001024', 'WBPhenotype:0000073'], 5: ['WBPhenotype:0000070'], 6: ['WBPhenotype:0000342']}	WBPhenotype:0000342	6
46	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000535'], 3: ['WBPhenotype:0000934'], 4: ['WBPhenotype:0000037'], 5: ['WBPhenotype:0001836']}	WBPhenotype:0001836	5
47	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000535'], 3: ['WBPhenotype:0000934'], 4: ['WBPhenotype:0000037']}	WBPhenotype:0000037	4
48	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000533'], 3: ['WBPhenotype:0002108'], 4: ['WBPhenotype:0000900'], 5: ['WBPhenotype:0000388'], 6: ['WBPhenotype:0000509']}	WBPhenotype:0000509	6
49	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000533'], 3: ['WBPhenotype:0002108'], 4: ['WBPhenotype:0000900'], 5: ['WBPhenotype:0000388']}	WBPhenotype:0000388	5
50	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000990']}	WBPhenotype:0000990	3
51	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000991']}	WBPhenotype:0000991	3
52	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0000650'], 4: ['WBPhenotype:0000210'], 5: ['WBPhenotype:0000994']}	WBPhenotype:0000994	5
53	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0000650'], 4: ['WBPhenotype:0000210']}	WBPhenotype:0000210	4
54	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518', 'WBPhenotype:0000520'], 2: ['WBPhenotype:0000530', 'WBPhenotype:0000534'], 3: ['WBPhenotype:0000624', 'WBPhenotype:0000605'], 4: ['WBPhenotype:0000699', 'WBPhenotype:0001335'], 5: ['WBPhenotype:0000510', 'WBPhenotype:0000695'], 6: ['WBPhenotype:0000510']}	WBPhenotype:0000510	6
55	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000520'], 2: ['WBPhenotype:0000534'], 3: ['WBPhenotype:0000605'], 4: ['WBPhenotype:0001335'], 5: ['WBPhenotype:0000695']}	WBPhenotype:0000695	5
56	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518'], 2: ['WBPhenotype:0000530'], 3: ['WBPhenotype:0000624'], 4: ['WBPhenotype:0000699']}	WBPhenotype:0000699	4
57	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000738'], 5: ['WBPhenotype:0000523'], 6: ['WBPhenotype:0000631'], 7: ['WBPhenotype:0001842']}	WBPhenotype:0001842	7
58	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000738'], 5: ['WBPhenotype:0000523'], 6: ['WBPhenotype:0000631']}	WBPhenotype:0000631	6
59	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0000463'], 6: ['WBPhenotype:0001841']}	WBPhenotype:0001841	6
